clip(dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 8192 "Rectangular" 1 1 )) 0 1G ) X,clip(dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 8192 "Rectangular" 1 1 )) 0 1G ) Y
727539062.4999999,-83.62833022919737
728515624.9999999,-76.55455227684989
729492187.4999999,-89.18601833312216
730468749.9999999,-90.2371957636375
731445312.4999999,-91.08880180787673
732421874.9999999,-89.75932179039089
733398437.4999999,-93.05656717052895
734374999.9999999,-82.22275530126815
735351562.4999999,-83.96387172283255
736328124.9999999,-85.7773840750292
737304687.4999999,-82.62996543662473
738281249.9999999,-86.28816095443274
739257812.4999999,-85.82264082606891
740234374.9999999,-80.58936949836026
741210937.4999999,-83.28534571203743
742187499.9999999,-87.93536670119552
743164062.4999999,-94.09054084317218
744140624.9999999,-86.56449426698775
745117187.4999999,-92.0938120382153
746093749.9999999,-80.3307935455761
747070312.4999999,-85.31328320910433
748046874.9999999,-79.04126187559937
749023437.4999999,-87.11853900929928
749999999.9999999,-75.78929357169726
750976562.4999999,-84.38062373793002
751953124.9999999,-106.4364673044634
752929687.4999999,-82.83448735751536
753906249.9999999,-96.42947840780954
754882812.4999999,-91.21185144383018
755859374.9999999,-74.83296727865171
756835937.4999999,-87.90219730864335
757812499.9999999,-78.9646196311388
758789062.4999999,-84.88048970677508
759765624.9999999,-89.09627440658745
760742187.4999999,-91.29089738635373
761718749.9999999,-79.97173241950797
762695312.4999999,-84.77637966677371
763671874.9999999,-82.01531915712438
764648437.4999999,-81.52349498934184
765624999.9999999,-62.73926987917801
766601562.4999999,-89.34934351589649
767578124.9999999,-88.38450622608075
768554687.4999999,-88.58959055722593
769531249.9999999,-79.98633540056235
770507812.4999999,-86.06692001659428
771484374.9999999,-87.41359416954748
772460937.4999999,-85.16295472730704
773437499.9999999,-73.64113167989639
774414062.4999999,-87.39690429386103
775390624.9999999,-86.63016513321085
776367187.4999999,-84.31664782077897
777343749.9999999,-88.24763905153512
778320312.4999999,-103.1034037109628
779296874.9999999,-77.93179750440801
780273437.4999999,-82.3814845622599
781249999.9999999,-75.60992356524262
782226562.4999999,-85.49819624611447
783203124.9999999,-77.90437593042462
784179687.4999999,-93.82173979608011
785156249.9999999,-78.83626623578631
786132812.4999999,-103.9133449729487
787109374.9999999,-95.75136490130497
788085937.4999999,-91.48341620398774
789062499.9999999,-84.71513899468491
790039062.4999999,-92.9017154411878
791015624.9999999,-84.96489179173959
791992187.4999999,-87.67218492792487
792968749.9999999,-87.16010072537465
793945312.4999999,-91.21511608205168
794921874.9999999,-88.8016071931433
795898437.4999999,-83.03242475133285
796874999.9999999,-81.65780161588859
797851562.4999999,-88.25580351837212
798828124.9999999,-79.70013868870031
799804687.4999999,-89.84826601929672
800781249.9999999,-83.45371931296815
801757812.4999999,-97.64547631567359
802734374.9999999,-95.20808939255747
803710937.4999999,-85.11755308681872
804687499.9999999,-81.30912390774454
805664062.4999999,-101.419806864044
806640624.9999999,-78.63657839517231
807617187.4999999,-95.76539768280654
808593749.9999999,-65.09164741695378
809570312.4999999,-92.69604198521046
810546874.9999999,-84.02569827493551
