dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 1024 "Rectangular" 1 1 )) X,dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 1024 "Rectangular" 1 1 )) Y
450195312.4999999,-70.01520511701503
451171874.9999999,-71.3509486162483
452148437.4999999,-78.50468450520417
453124999.9999999,-85.35237244508302
454101562.4999999,-81.41812913885946
455078124.9999999,-65.95530119081479
456054687.4999999,-80.82356027964286
457031249.9999999,-74.41082550895889
458007812.4999999,-69.50703968713536
458984374.9999999,-88.38226815364818
459960937.4999999,-84.56224031795205
460937499.9999999,-62.40226847560303
461914062.4999999,-71.00827925395033
462890624.9999999,-71.5289999895089
463867187.4999999,-72.8708807684164
464843749.9999999,-76.5377288756796
465820312.4999999,-68.96361957257336
466796874.9999999,-69.61736509594414
467773437.4999999,-74.87842367390165
468749999.9999999,-68.63145993134367
469726562.4999999,-78.37931601018118
470703124.9999999,-75.10096551534596
471679687.4999999,-73.96373185616964
472656249.9999999,-68.20346687559471
473632812.4999999,-78.42457099520352
474609374.9999999,-72.67668313306964
475585937.4999999,-73.980087878148
476562499.9999999,-71.21321721802441
477539062.4999999,-71.53416626911874
478515624.9999999,-55.54950813994194
479492187.4999999,-71.42559709592763
480468749.9999999,-69.25530948755178
481445312.4999999,-73.59831570443529
482421874.9999999,-79.867695517307
483398437.4999999,-79.65926043195941
484374999.9999999,-73.76711381190647
485351562.4999999,-76.86950625423161
486328124.9999999,-67.91100610597819
487304687.4999999,-78.65342121906409
488281249.9999999,-63.41068591062075
489257812.4999999,-80.14455806010217
490234374.9999999,-65.72116980288935
491210937.4999999,-77.4051626858606
492187499.9999999,-65.96111833848637
493164062.4999999,-86.38348529255511
494140624.9999999,-81.78118046482322
495117187.4999999,-73.60549298140067
496093749.9999999,-71.38799336092502
497070312.4999999,-70.20749222051273
498046874.9999999,-80.25120432035203
499023437.4999999,-72.6553214171428
499999999.9999999,-79.18292057567552
